Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,428,0,1100.0,1154.772448911015,475.1580359952641,2970.9316700027557,181.0,6.319725735293975,0.0,1100,1300,1300,1400,1700,2300,2600,2700,3000,3000,3000
GET,2.course_list,438,10,130.0,315.67439802516117,28.0578979945858,2618.2501739967847,430.3013698630137,6.467382878641965,0.14765714334799007,130,220,270,330,980,1500,2000,2500,2600,2600,2600
GET,3.quiz_list,438,10,220.0,546.8066385504962,33.472481001808774,2735.0089519968606,117.60730593607306,6.467382878641965,0.14765714334799007,220,380,920,980,1700,2400,2500,2600,2700,2700,2700
GET,4.quiz_info,428,0,250.0,1227.3217213598027,81.97331900009885,6609.994056001597,3525.0233644859813,6.319725735293975,0.0,250,350,970,3500,4700,5400,5800,5900,6600,6600,6600
GET,5.quiz_download,438,10,150.0,474.74145025338674,21.395187999587506,3149.120674999722,4213.899543378995,6.467382878641965,0.14765714334799007,150,230,410,730,1700,2200,2400,3100,3100,3100,3100
GET,6.quiz_authenticate,438,10,120.0,500.993203072934,26.84400100406492,3311.9726600052672,53.114155251141554,6.467382878641965,0.14765714334799007,130,310,550,860,1800,2400,3200,3300,3300,3300,3300
POST,7.quiz_submit,428,0,450.0,787.192748457766,214.4775380002102,3663.4333830006653,63.0,6.319725735293975,0.0,450,670,920,1200,1900,2500,3000,3500,3700,3700,3700
,Aggregated,3036,40,290.0,711.9872442005611,21.395187999587506,6609.994056001597,1225.9808959156785,44.82870872044979,0.5906285733919603,290,620,980,1200,1800,2600,4300,5300,6100,6600,6600
