CPU,%usr
all,29.91
0,24.07
1,31.46
2,32.24
3,30.90
4,29.26
5,33.61
6,28.16
7,27.37
8,32.61
9,29.96
10,27.04
11,27.77
12,32.97
13,24.26
14,30.68
15,32.75
16,34.00
17,29.11
18,28.93
19,33.11
20,28.59
21,30.48
22,29.07
23,29.48
