Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   36.97    0.00    1.90    2.56    0.00    0.98    0.00    0.00    0.00   57.58
Average:       0   36.50    0.00    1.63    1.01    0.00    5.44    0.00    0.00    0.00   55.41
Average:       1   33.24    0.00    1.90    1.72    0.00    1.87    0.00    0.00    0.00   61.27
Average:       2   40.28    0.00    1.65    1.47    0.00    1.00    0.00    0.00    0.00   55.60
Average:       3   35.94    0.00    1.77    1.24    0.00    0.74    0.00    0.00    0.00   60.32
Average:       4   38.19    0.00    1.74    0.47    0.00    0.62    0.00    0.00    0.00   58.97
Average:       5   34.03    0.00    1.78    0.92    0.00    0.92    0.00    0.00    0.00   62.35
Average:       6   38.24    0.00    1.59    0.85    0.00    0.74    0.00    0.00    0.00   58.58
Average:       7   38.93    0.00    1.63    1.18    0.00    0.89    0.00    0.00    0.00   57.37
Average:       8   37.15    0.00    2.11    0.91    0.00    0.82    0.00    0.00    0.00   59.01
Average:       9   37.43    0.00    1.72    0.89    0.00    0.74    0.00    0.00    0.00   59.21
Average:      10   36.71    0.00    2.00    0.97    0.00    0.85    0.00    0.00    0.00   59.48
Average:      11   40.67    0.00    2.02    1.01    0.00    0.57    0.00    0.00    0.00   55.73
Average:      12   39.70    0.00    1.68    1.00    0.00    0.68    0.00    0.00    0.00   56.93
Average:      13   32.15    0.00    2.61   30.10    0.00    1.10    0.00    0.00    0.00   34.05
Average:      14   36.36    0.00    2.09    1.94    0.00    0.65    0.00    0.00    0.00   58.96
Average:      15   43.44    0.00    2.10    2.60    0.00    0.65    0.00    0.00    0.00   51.21
Average:      16   36.77    0.00    1.86    1.56    0.00    0.62    0.00    0.00    0.00   59.19
Average:      17   36.66    0.00    2.28    2.04    0.00    0.80    0.00    0.00    0.00   58.22
Average:      18   36.05    0.00    1.89    2.24    0.00    0.50    0.00    0.00    0.00   59.32
Average:      19   35.99    0.00    2.11    1.61    0.00    0.53    0.00    0.00    0.00   59.75
Average:      20   38.38    0.00    1.91    1.27    0.00    0.68    0.00    0.00    0.00   57.76
Average:      21   34.82    0.00    1.80    1.65    0.00    0.65    0.00    0.00    0.00   61.08
Average:      22   35.20    0.00    1.68    1.24    0.00    0.50    0.00    0.00    0.00   61.38
Average:      23   34.64    0.00    2.10    1.75    0.00    0.74    0.00    0.00    0.00   60.78
