Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,156,0,760.0,1116.1138886217464,406.8689870000526,5888.046541000222,181.0,4.080727899338514,0.0,770,840,930,1000,1700,5500,5600,5800,5900,5900,5900
GET,2.course_list,152,0,51,173.56061422390812,29.139969999960158,2742.268140998931,460.0,3.9760938506375263,0.0,52,76,120,140,290,760,2500,2600,2700,2700,2700
GET,3.quiz_list,146,0,160.0,280.1017318492435,68.22907599780592,2775.4594099969836,225.0,3.819142777586045,0.0,160,220,240,260,730,830,2700,2800,2800,2800,2800
GET,4.quiz_info,129,0,1200.0,1351.9095297753186,941.6947050012823,3900.0692119989253,3525.15503875969,3.374448070606848,0.0,1200,1300,1500,1500,1700,1800,3100,3800,3900,3900,3900
GET,5.quiz_download,118,0,38,122.00089479647123,23.060823001287645,2965.1699579990236,4311.0,3.0867044366791325,0.0,39,62,77,110,160,230,690,2700,3000,3000,3000
GET,6.quiz_authenticate,105,0,150.0,279.7511276474411,67.7783780010941,3512.3437229995034,185.0,2.746643778400923,0.0,150,220,240,250,360,630,2600,3100,3500,3500,3500
POST,7.quiz_submit,89,0,1100.0,1194.2183447416314,763.8631890004035,2737.4412579993077,62.0,2.3281075835969727,0.0,1100,1200,1200,1200,1500,1700,2700,2700,2700,2700,2700
,Aggregated,895,0,250.0,632.2252165910635,23.060823001287645,5888.046541000222,1250.7173184357541,23.41186839684596,0.0,250,830,1000,1100,1300,1700,2800,5500,5900,5900,5900
