Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,318,0,820.0,953.9398215596943,459.1792799983523,1852.1766350022517,181.0,6.620576736650401,0.0,820,1000,1200,1300,1500,1500,1600,1600,1900,1900,1900
GET,2.course_list,318,0,65,121.09063363191727,28.411524996045046,596.6376040014438,439.0,6.620576736650401,0.0,65,91,120,170,360,450,530,570,600,600,600
GET,3.quiz_list,318,0,72,125.4488108331413,32.79524499521358,609.7632759992848,119.0,6.620576736650401,0.0,73,100,170,180,290,390,500,520,610,610,610
GET,4.quiz_info,318,0,200.0,252.87064649997978,84.01656500063837,1032.8275400024722,3524.9937106918237,6.620576736650401,0.0,200,240,270,310,580,750,910,910,1000,1000,1000
GET,5.quiz_download,318,0,54,139.4338408712623,23.406674998113886,624.3423060004716,4311.0,6.620576736650401,0.0,55,150,200,210,350,520,600,600,620,620,620
GET,6.quiz_authenticate,318,0,66,147.25620859110293,31.96216799551621,630.198050996114,53.0,6.620576736650401,0.0,66,160,180,200,450,520,600,620,630,630,630
POST,7.quiz_submit,318,0,350.0,415.79958248443086,192.2338549993583,1024.8708540020743,63.0,6.620576736650401,0.0,350,390,450,510,690,820,900,920,1000,1000,1000
,Aggregated,2226,0,180.0,307.9770777816466,23.406674998113886,1852.1766350022517,1241.570530098832,46.3440371565528,0.0,180,320,410,520,780,1000,1400,1500,1600,1900,1900
