Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,142,0,590.0,813.5693533027529,446.1511649988097,2459.1952850005327,181.0,3.626153384714911,0.0,590,710,850,990,1500,2300,2400,2400,2500,2500,2500
GET,2.course_list,132,0,39,217.56124718922365,30.356520001078025,1800.6456839993916,439.0,3.3707904702983678,0.0,39,49,270,390,650,910,1800,1800,1800,1800,1800
GET,3.quiz_list,128,0,110.0,344.10618654686687,62.484056999892346,2263.5271819999616,225.0,3.2686453045317507,0.0,110,280,440,640,920,1100,2200,2200,2300,2300,2300
GET,4.quiz_info,107,0,3300.0,3812.4616662429535,2814.832778998607,6324.912984999173,3524.96261682243,2.7323831842570105,0.0,3300,3700,4600,4800,5900,6100,6300,6300,6300,6300,6300
GET,5.quiz_download,99,0,40,291.5892396565573,24.920679001297685,2169.724989000315,4311.0,2.528092852723776,0.0,40,300,420,460,800,870,2100,2200,2200,2200,2200
GET,6.quiz_authenticate,90,0,110.0,277.6371063333297,64.83243600087008,913.6988099999144,185.0,2.2982662297488874,0.0,110,400,470,580,720,770,780,910,910,910,910
POST,7.quiz_submit,77,0,1100.0,1355.6294722336854,938.4989809987019,3572.604685999977,62.0,1.9662944410073813,0.0,1100,1200,1300,1400,2700,3500,3600,3600,3600,3600,3600
,Aggregated,775,0,480.0,973.4994408025245,24.920679001297685,6324.912984999173,1210.108387096774,19.790625867282085,0.0,480,780,1000,1400,3100,3700,5000,6000,6300,6300,6300
