CPU,%usr
all,27.93
0,26.10
1,27.15
2,26.92
3,29.62
4,25.67
5,27.42
6,27.43
7,25.89
8,23.05
9,29.41
10,29.24
11,28.59
12,28.88
13,22.93
14,29.96
15,27.49
16,32.01
17,28.38
18,30.74
19,31.83
20,28.01
21,28.33
22,26.03
23,29.40
