Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,171,0,730.0,748.7449575615458,426.35668799994164,1257.8683179999643,181.0,4.47696096223359,0.0,730,830,890,920,930,970,980,1300,1300,1300,1300
GET,2.course_list,155,0,43,71.42971133535836,27.7640389977023,443.64271000085864,460.0,4.058064030094774,0.0,43,60,81,100,160,190,290,350,440,440,440
GET,3.quiz_list,149,0,130.0,156.50204707398242,62.112339001032524,404.84175700112246,119.0,3.9009776805427183,0.0,130,170,220,230,310,360,400,400,400,400,400
GET,4.quiz_info,132,0,1200.0,1226.5461895377678,959.1174419983872,1569.770221998624,3525.060606060606,3.455899690145227,0.0,1200,1300,1300,1300,1400,1500,1600,1600,1600,1600,1600
GET,5.quiz_download,128,0,49,114.37887460925822,22.79349500167882,676.431820000289,4311.0,3.3511754571105232,0.0,54,120,160,170,230,320,640,640,680,680,680
GET,6.quiz_authenticate,115,0,180.0,183.1713080607385,64.2966269988392,619.8992089994135,185.0,3.0108216997477357,0.0,180,210,230,230,290,410,420,420,620,620,620
POST,7.quiz_submit,109,0,1100.0,1126.56165642219,889.3048450008791,1521.8132590016467,62.0,2.85373535019568,0.0,1100,1200,1200,1200,1300,1400,1500,1500,1500,1500,1500
,Aggregated,959,0,230.0,503.47269234619694,22.79349500167882,1569.770221998624,1214.9436913451511,25.107634870070246,0.0,230,730,970,1100,1200,1300,1400,1500,1600,1600,1600
