CPU,%usr
all,7.16
0,5.20
1,10.18
2,5.92
3,5.72
4,5.69
5,8.47
6,5.93
7,6.32
8,9.94
9,6.46
10,5.98
11,7.86
12,6.91
13,6.23
14,6.07
15,8.49
16,9.54
17,5.48
18,8.36
19,9.09
20,6.63
21,6.98
22,6.65
23,7.85
