CPU,%usr
all,14.45
0,13.94
1,12.18
2,15.20
3,13.44
4,13.61
5,22.92
6,15.10
7,15.13
8,14.44
9,13.15
10,14.26
11,16.58
12,16.94
13,12.30
14,13.80
15,15.58
16,12.49
17,10.33
18,16.68
19,11.68
20,11.31
21,15.60
22,13.43
23,16.62
