num_of_users,all,core:0,core:1,core:2,core:3,core:4,core:5,core:6,core:7,core:8,core:9,core:10,core:11,core:12,core:13,core:14,core:15,core:16,core:17,core:18,core:19,core:20,core:21,core:22,core:23
10,7.16,5.20,10.18,5.92,5.72,5.69,8.47,5.93,6.32,9.94,6.46,5.98,7.86,6.91,6.23,6.07,8.49,9.54,5.48,8.36,9.09,6.63,6.98,6.65,7.85
20,14.45,13.94,12.18,15.20,13.44,13.61,22.92,15.10,15.13,14.44,13.15,14.26,16.58,16.94,12.30,13.80,15.58,12.49,10.33,16.68,11.68,11.31,15.60,13.43,16.62
