Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,96,0,580.0,635.9075747708024,473.29761699802475,876.6939779998211,181.0,3.6821758583773114,0.0,590,630,760,790,830,870,870,880,880,880,880
GET,2.course_list,88,0,37,40.36564068176383,28.705667002213886,173.66650300027686,460.0,3.375327870179202,0.0,37,38,41,42,44,54,150,170,170,170,170
GET,3.quiz_list,81,0,56,64.60461451853108,46.82271300043794,342.72318100192933,336.0,3.1068358805058565,0.0,56,58,61,63,74,78,220,340,340,340,340
GET,4.quiz_info,67,0,1100.0,1140.172597566724,968.0785669988836,1572.6593839972338,3524.9850746268658,2.5698519011591654,0.0,1100,1200,1200,1200,1300,1400,1500,1600,1600,1600,1600
GET,5.quiz_download,64,64,27,33.92125001550994,19.591199001297355,167.25380800198764,23.0,2.454783905584874,2.454783905584874,27,29,31,32,45,95,110,170,170,170,170
GET,6.quiz_authenticate,58,0,76,106.49493393103857,66.87453999984427,351.4396400023543,185.0,2.224647914436292,0.0,76,91,100,140,190,220,350,350,350,350,350
POST,7.quiz_submit,52,0,1000.0,1058.8401330770257,925.115325000661,1452.363377000438,62.0,1.9945119232877102,0.0,1000,1100,1100,1200,1200,1300,1300,1500,1500,1500,1500
,Aggregated,506,64,77,414.2908981422174,19.591199001297355,1572.6593839972338,665.3596837944664,19.40813525353041,2.454783905584874,78,570,830,1000,1100,1200,1300,1400,1600,1600,1600
