Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,77,0,2800.0,3730.569238129753,399.05108799939626,9626.464996999857,181.0,2.014218489439762,0.0,2800,3600,6100,7700,9000,9300,9500,9600,9600,9600,9600
GET,2.course_list,57,0,2100.0,3020.3090786667176,31.372000999908778,9265.079065000464,439.0,1.4910448558190448,0.0,2100,2600,4100,7900,8600,8800,9100,9300,9300,9300,9300
GET,3.quiz_list,45,0,2300.0,3043.7425000666226,65.49763699877076,9273.936679999679,225.0,1.1771406756466143,0.0,2300,2900,3100,7000,8900,8900,9300,9300,9300,9300,9300
GET,4.quiz_info,34,0,4800.0,5890.237383117733,2808.8451040002838,12044.300827999905,3525.029411764706,0.8893951771552197,0.0,4800,6700,8700,9100,10000,12000,12000,12000,12000,12000,12000
GET,5.quiz_download,26,0,2100.0,3192.2407423461173,240.8013550011674,9080.264965999959,4311.0,0.6801257237069327,0.0,2400,2900,4100,6300,8700,8800,9100,9100,9100,9100,9100
GET,6.quiz_authenticate,20,0,2500.0,3410.644777050038,636.0371920000034,9256.624751000345,185.0,0.5231736336207174,0.0,2700,2800,3100,8700,8900,9300,9300,9300,9300,9300,9300
POST,7.quiz_submit,16,0,3000.0,4638.24660525006,2205.0518350006314,10292.576976999044,62.0,0.41853890689657397,0.0,3300,3400,9300,9300,10000,10000,10000,10000,10000,10000,10000
,Aggregated,275,0,2800.0,3716.621937727257,31.372000999908778,12044.300827999905,1038.96,7.193637462284865,0.0,2800,3500,5000,7900,8900,9300,10000,12000,12000,12000,12000
