Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,277,0,760.0,1239.6005376822907,423.05037500000253,4485.428883000168,181.0,4.740355375829696,0.0,760,860,1200,2000,3500,3900,4100,4300,4500,4500,4500
GET,2.course_list,277,0,58,302.9111497436834,31.043786999816803,3691.558365000219,439.0,4.740355375829696,0.0,58,83,150,200,850,2200,3200,3600,3700,3700,3700
GET,3.quiz_list,277,0,73,325.468260667864,35.87593900010688,3634.50610100017,119.0,4.740355375829696,0.0,73,130,250,370,840,1500,3100,3400,3600,3600,3600
GET,4.quiz_info,254,0,180.0,1866.4926176810975,81.9784699997399,6882.2941550001815,3524.9921259842517,4.346751860869108,0.0,190,3600,4100,4300,4700,5900,6600,6700,6900,6900,6900
GET,5.quiz_download,238,0,63,472.3350509537669,24.937229999977717,3805.569400999957,4311.0,4.07294072002696,0.0,63,140,470,800,1600,3000,3300,3300,3800,3800,3800
GET,6.quiz_authenticate,230,0,58,182.84160046957524,28.899801000079606,3328.633069999796,53.0,3.9360351496058854,0.0,59,110,150,170,380,840,1100,2500,3300,3300,3300
POST,7.quiz_submit,225,0,320.0,540.1710037600182,221.15316200006419,3663.6121919996185,63.0,3.850469168092714,0.0,320,400,440,570,1000,2000,3500,3500,3700,3700,3700
,Aggregated,1778,0,180.0,712.8950262058456,24.937229999977717,6882.2941550001815,1210.5928008998876,30.427263026083757,0.0,180,440,690,810,2800,3800,4500,5400,6700,6900,6900
