Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,312,0,920.0,970.8374119068257,443.4333309982321,3340.4352690049564,181.0,6.537143311356557,0.0,920,1000,1200,1200,1400,1700,2000,2700,3300,3300,3300
GET,2.course_list,312,0,63,111.06861269213252,28.523648004920688,738.3953909957199,439.0,6.537143311356557,0.0,63,80,150,210,250,380,430,490,740,740,740
GET,3.quiz_list,312,0,51,112.01930564418898,34.12839399970835,1195.7441790000303,119.0,6.537143311356557,0.0,51,69,140,170,230,380,540,730,1200,1200,1200
GET,4.quiz_info,312,0,190.0,272.6652971733319,87.30750699760392,947.8577400004724,3525.00641025641,6.537143311356557,0.0,190,250,370,390,690,870,890,910,950,950,950
GET,5.quiz_download,312,0,46,128.539258057665,21.15819499886129,2142.7624659991125,4311.0,6.537143311356557,0.0,46,81,160,180,220,530,770,770,2100,2100,2100
GET,6.quiz_authenticate,312,0,77,159.7859720127067,29.1992249985924,2139.059923996683,53.0,6.537143311356557,0.0,78,120,180,220,440,520,780,790,2100,2100,2100
POST,7.quiz_submit,312,0,370.0,428.79899072441054,207.06371199776186,1204.2406000036863,63.0,6.537143311356557,0.0,370,420,490,520,610,1000,1100,1200,1200,1200,1200
,Aggregated,2184,0,170.0,311.9592640301809,21.15819499886129,3340.4352690049564,1241.5723443223444,45.7600031794959,0.0,170,300,420,530,820,1100,1200,1700,3300,3300,3300
