Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,151,0,570.0,663.4546734967323,434.8622630004684,1568.882075998772,181.0,3.863094317424849,0.0,570,660,740,750,910,1300,1400,1500,1600,1600,1600
GET,2.course_list,142,0,40,107.69424423224464,28.46171700002742,1039.7594480000407,439.0,3.632843662743898,0.0,40,51,130,190,270,350,610,630,1000,1000,1000
GET,3.quiz_list,138,0,100.0,193.76740031153875,81.49585899991507,757.3519439993106,331.0,3.530510038441253,0.0,100,170,220,260,470,590,750,750,760,760,760
GET,4.quiz_info,116,0,3200.0,3212.853325905143,2800.962592998985,3719.4983169993066,3525.25,2.9676751047767054,0.0,3200,3300,3400,3400,3500,3600,3700,3700,3700,3700,3700
GET,5.quiz_download,108,0,34,144.36661199998628,23.83578899934946,998.4708960000717,4311.0,2.763007856171415,0.0,34,85,150,180,440,750,990,1000,1000,1000,1000
GET,6.quiz_authenticate,101,0,120.0,206.73059324760496,66.10193099913886,948.0728849994193,185.0,2.5839240136417865,0.0,120,180,250,310,530,610,760,770,950,950,950
POST,7.quiz_submit,89,0,1000.0,1162.9682222246834,861.9863969997823,1838.4424510004465,62.0,2.2769231407338513,0.0,1000,1200,1300,1300,1600,1700,1800,1800,1800,1800,1800
,Aggregated,845,0,320.0,775.0067233360684,23.83578899934946,3719.4983169993066,1223.747928994083,21.617978133933757,0.0,320,620,970,1100,3100,3300,3500,3600,3700,3700,3700
