Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,168,0,780.0,793.0790621130438,443.5366290017555,1476.6665339993779,181.0,4.399175240647677,0.0,780,850,940,950,1100,1300,1300,1500,1500,1500,1500
GET,2.course_list,157,0,41,82.69983250341915,28.720174999762094,387.2176559998479,460.0,4.1111340046528895,0.0,41,64,84,120,210,250,380,380,390,390,390
GET,3.quiz_list,148,0,180.0,194.47035687175526,57.13922900031321,579.8918119980954,119.0,3.8754639024753352,0.0,180,210,240,250,440,450,480,490,580,580,580
GET,4.quiz_info,131,0,1300.0,1262.4141037861154,868.9901850011665,1680.8243060004315,3524.740458015267,3.430309265028844,0.0,1300,1300,1400,1400,1500,1600,1700,1700,1700,1700,1700
GET,5.quiz_download,126,0,42,87.7865138650772,21.909213999606436,576.0113830001501,4311.0,3.299381430485758,0.0,42,77,120,130,210,310,430,470,580,580,580
GET,6.quiz_authenticate,118,0,170.0,225.43263630510504,58.49674400087679,657.0474219988682,185.0,3.089896895216821,0.0,170,220,260,310,460,630,640,650,660,660,660
POST,7.quiz_submit,107,0,1100.0,1121.2606021778308,890.5938840034651,1506.3546310011589,62.0,2.8018556592220327,0.0,1100,1100,1200,1200,1400,1400,1400,1500,1500,1500,1500
,Aggregated,955,0,250.0,521.4827778168161,21.909213999606436,1680.8243060004315,1207.9905759162305,25.00721639772936,0.0,250,760,980,1100,1300,1400,1500,1500,1700,1700,1700
