Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   38.68    0.00    2.04    2.76    0.00    0.94    0.00    0.00    0.00   55.58
Average:       0   37.29    0.00    1.98    1.09    0.00    3.56    0.00    0.00    0.00   56.08
Average:       1   36.73    0.00    1.54    0.96    0.00    2.15    0.00    0.00    0.00   58.61
Average:       2   41.61    0.00    2.01    1.27    0.00    1.27    0.00    0.00    0.00   53.85
Average:       3   39.48    0.00    1.97    0.79    0.00    1.03    0.00    0.00    0.00   56.74
Average:       4   39.48    0.00    1.98    1.71    0.00    0.94    0.00    0.00    0.00   55.89
Average:       5   40.37    0.00    2.01    0.74    0.00    0.77    0.00    0.00    0.00   56.12
Average:       6   36.56    0.00    2.10    1.27    0.00    0.83    0.00    0.00    0.00   59.25
Average:       7   37.50    0.00    2.19    0.74    0.00    0.74    0.00    0.00    0.00   58.83
Average:       8   43.96    0.00    1.78    0.50    0.00    0.68    0.00    0.00    0.00   53.08
Average:       9   40.01    0.00    2.19    0.98    0.00    0.71    0.00    0.00    0.00   56.11
Average:      10   42.10    0.00    1.92    1.83    0.00    0.80    0.00    0.00    0.00   53.36
Average:      11   42.51    0.00    1.71    1.36    0.00    0.50    0.00    0.00    0.00   53.92
Average:      12   36.38    0.00    2.09    1.39    0.00    0.88    0.00    0.00    0.00   59.26
Average:      13   33.23    0.00    2.76   33.44    0.00    0.83    0.00    0.00    0.00   29.74
Average:      14   36.73    0.00    2.22    3.46    0.00    0.65    0.00    0.00    0.00   56.94
Average:      15   37.49    0.00    2.15    2.51    0.00    0.56    0.00    0.00    0.00   57.29
Average:      16   39.02    0.00    2.16    1.33    0.00    0.59    0.00    0.00    0.00   56.89
Average:      17   39.24    0.00    1.85    1.88    0.00    0.77    0.00    0.00    0.00   56.27
Average:      18   36.26    0.00    2.41    1.38    0.00    0.73    0.00    0.00    0.00   59.23
Average:      19   36.33    0.00    2.04    1.48    0.00    0.77    0.00    0.00    0.00   59.39
Average:      20   39.20    0.00    1.92    1.65    0.00    0.68    0.00    0.00    0.00   56.54
Average:      21   38.35    0.00    2.04    1.92    0.00    0.47    0.00    0.00    0.00   57.21
Average:      22   39.27    0.00    1.78    1.30    0.00    0.65    0.00    0.00    0.00   56.99
Average:      23   39.36    0.00    2.15    1.47    0.00    0.77    0.00    0.00    0.00   56.25
