Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SignInAttempt,40,0,380.0,384.66267739997875,350.10342100031266,429.60219900032826,190.0,1.0317235819776267,0.0,380,390,400,400,410,420,430,430,430,430,430
POST,Submit,32,0,540.0,585.9281174999751,446.28873900001054,779.9531219998244,62.0,0.8253788655821014,0.0,540,570,670,690,770,780,780,780,780,780,780
GET,course_list,40,0,37,39.48913310000535,30.563899999833666,78.34950899996329,359.0,1.0317235819776267,0.0,38,40,42,43,46,61,78,78,78,78,78
GET,perf_check,40,0,34,57.519609375049185,27.666085999953793,175.17727899939928,118.775,1.0317235819776267,0.0,35,39,44,88,170,170,180,180,180,180,180
GET,quiz_authenticate,35,0,100.0,113.49953311421685,54.68435900002078,263.2371230001809,185.0,0.9027581342304234,0.0,100,120,140,150,160,220,260,260,260,260,260
GET,quiz_download,36,0,34,43.21346016664999,22.96858199952112,163.63924500001303,2585.0,0.9285512237798641,0.0,34,41,51,55,62,100,160,160,160,160,160
GET,quiz_info,39,0,610.0,638.1829314615784,428.5678470005223,997.0010110000658,2249.0,1.005930492428186,0.0,610,650,730,810,870,990,1000,1000,1000,1000,1000
GET,quiz_list,40,0,34,42.30082200006109,27.290095000353176,183.1315210001776,241.0,1.0317235819776267,0.0,35,37,39,40,46,170,180,180,180,180,180
,Aggregated,302,0,83,232.20494035430977,22.96858199952112,997.0010110000658,746.9569536423841,7.789513043931081,0.0,84,380,400,500,580,720,820,870,1000,1000,1000
