CPU,%usr
all,39.22
0,37.04
1,38.69
2,37.14
3,38.74
4,39.25
5,40.79
6,40.50
7,40.12
8,38.47
9,43.96
10,44.17
11,39.83
12,40.65
13,35.67
14,38.74
15,41.15
16,41.97
17,39.59
18,37.13
19,35.96
20,40.91
21,36.36
22,35.12
23,39.36
