Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,110,0,3700.0,3865.503983245468,1270.3194610003266,7256.088613000429,181.0,3.599516519810187,0.0,3700,4700,5400,5600,6200,6700,6700,6900,7300,7300,7300
GET,2.course_list,110,0,3400.0,3537.7506238000105,991.3702710000507,6177.700064000419,13.0,3.599516519810187,0.0,3600,4400,4800,5100,5500,5800,5900,6100,6200,6200,6200
GET,3.quiz_list,110,0,2700.0,3212.7784709636385,1551.8682120000449,6148.489133999647,1122.0,3.599516519810187,0.0,2700,3800,4100,4900,5700,6000,6000,6100,6100,6100,6100
GET,4.quiz_info,110,0,3200.0,3262.46652401821,1694.6571039998162,6095.099723000203,1151.0,3.599516519810187,0.0,3200,3400,3500,3600,5100,5500,6000,6000,6100,6100,6100
GET,5.quiz_download,110,0,2200.0,2133.645026945404,376.0111150004377,5000.481113000205,1406.0,3.599516519810187,0.0,2200,2800,2900,3000,3200,3300,3700,4900,5000,5000,5000
GET,6.quiz_authenticate,110,0,920.0,1433.571242618159,141.99008800005686,3386.4697509998223,185.0,3.599516519810187,0.0,930,2000,2700,3000,3200,3300,3400,3400,3400,3400,3400
POST,7.quiz_submit,110,0,300.0,664.8392911636371,69.23493100021005,3222.7337470003476,62.0,3.599516519810187,0.0,310,420,480,960,2100,2700,3100,3200,3200,3200,3200
,Aggregated,770,0,2500.0,2587.2221661077883,69.23493100021005,7256.088613000429,588.5714285714286,25.19661563867131,0.0,2500,3100,3400,3900,5100,5800,6100,6400,7300,7300,7300
