Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,70,0,1700.0,1901.0336086857153,943.4313660003681,4127.583614999821,181.0,3.2994620012417433,0.0,1700,2300,2500,2600,3100,3400,3600,4100,4100,4100,4100
GET,2.course_list,70,0,1100.0,1075.7226878856927,102.12094500002422,2714.0127849997953,13.0,3.2994620012417433,0.0,1100,1400,1700,1900,2000,2100,2600,2700,2700,2700,2700
GET,3.quiz_list,70,0,960.0,1134.4684649999826,177.59529700015264,2286.9338979999156,1127.0,3.2994620012417433,0.0,1000,1400,1700,1800,2100,2200,2200,2300,2300,2300,2300
GET,4.quiz_info,70,0,1200.0,1410.403638171452,438.59260299996095,3030.058242999985,1151.0,3.2994620012417433,0.0,1200,1600,1900,2000,2300,2800,2900,3000,3000,3000,3000
GET,5.quiz_download,70,0,730.0,903.1064495428317,53.97091399936471,2650.247428999137,1406.0,3.2994620012417433,0.0,750,970,1400,1700,1900,2600,2600,2700,2700,2700,2700
GET,6.quiz_authenticate,70,0,490.0,675.1653101571719,82.05341700067947,2175.869757000328,185.0,3.2994620012417433,0.0,510,710,930,1100,1500,2100,2200,2200,2200,2200,2200
POST,7.quiz_submit,70,0,150.0,450.0109619714099,81.36663000004773,2136.034340999686,62.0,3.2994620012417433,0.0,160,450,700,790,930,2000,2100,2100,2100,2100,2100
,Aggregated,490,0,940.0,1078.558731630608,53.97091399936471,4127.583614999821,589.2857142857143,23.0962340086922,0.0,950,1300,1700,1800,2200,2600,3000,3200,4100,4100,4100
