Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,128,0,5300.0,5220.683020109366,1081.1057970004185,8892.994867999732,181.0,4.111132324311284,0.0,5300,6700,7300,8000,8300,8600,8900,8900,8900,8900,8900
GET,2.course_list,150,74,2500.0,2851.672343646612,24.046134999480273,7898.674197999753,78.76,4.817733192552286,2.376748374992461,2600,4500,5400,6100,7300,7500,7800,7800,7900,7900,7900
GET,3.quiz_list,150,68,2400.0,2632.760518666656,27.758836000430165,7766.952101999777,593.4266666666666,4.817733192552286,2.1840390472903697,2400,2800,5000,5700,7000,7100,7600,7600,7800,7800,7800
GET,4.quiz_info,93,0,2700.0,3372.878950419315,1615.429277999283,7511.425114999838,1146.0,2.9869945793824173,0.0,2700,2800,3200,5000,6300,6900,7500,7500,7500,7500,7500
GET,5.quiz_download,150,41,1700.0,1623.8912471066817,31.369030999485403,5689.966227000696,1050.74,4.817733192552286,1.3168470726309582,1700,2300,2400,2500,2800,3500,5200,5500,5700,5700,5700
GET,6.quiz_authenticate,150,30,1400.0,1467.9255928333068,29.750941999736824,5978.5160920000635,171.48,4.817733192552286,0.9635466385104572,1400,2200,2400,2400,2800,4700,5600,5900,6000,6000,6000
POST,7.quiz_submit,93,0,200.0,435.58838983873466,66.55946699993365,1801.7284279994783,62.0,2.9869945793824173,0.0,200,310,540,860,1400,1500,1500,1800,1800,1800,1800
,Aggregated,914,213,2300.0,2526.118538901515,24.046134999480273,8892.994867999732,459.16083150984684,29.35605425328526,6.8411811334242465,2300,2700,3600,4800,6800,7400,8200,8500,8900,8900,8900
