Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,80,0,1900.0,2155.0485466125456,964.9046640006418,4155.212319999919,181.0,3.369932054371166,0.0,1900,2400,2900,3100,3600,3700,4100,4200,4200,4200,4200
GET,2.course_list,80,0,1600.0,1669.8886100374916,247.9113219997089,3328.9126250001573,13.0,3.369932054371166,0.0,1600,2000,2300,2700,2900,3200,3300,3300,3300,3300,3300
GET,3.quiz_list,80,0,1700.0,1864.6969072374764,733.8638639994315,3656.4319970002543,1122.0,3.369932054371166,0.0,1700,2100,2100,2400,3400,3500,3500,3700,3700,3700,3700
GET,4.quiz_info,80,0,1600.0,1916.040040462507,1059.1119800001252,3783.0477140005314,1146.0,3.369932054371166,0.0,1600,1800,2200,2800,3400,3500,3800,3800,3800,3800,3800
GET,5.quiz_download,80,0,1100.0,1246.5269780124222,67.82623399976728,3382.700512000156,1396.0,3.369932054371166,0.0,1100,1400,1700,1700,3100,3300,3400,3400,3400,3400,3400
GET,6.quiz_authenticate,80,0,780.0,819.9353298999995,92.39297099975374,2806.441371000801,185.0,3.369932054371166,0.0,780,1200,1200,1400,1600,2000,2800,2800,2800,2800,2800
POST,7.quiz_submit,80,0,110.0,468.08777490005014,72.82023599964305,1566.9021559997418,62.0,3.369932054371166,0.0,110,520,1000,1100,1400,1400,1500,1600,1600,1600,1600
,Aggregated,560,0,1300.0,1448.6034553089276,67.82623399976728,4155.212319999919,586.4285714285714,23.589524380598164,0.0,1300,1700,2000,2200,3000,3400,3600,3700,4200,4200,4200
