Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,128,0,5500.0,5486.169015304683,1055.0204110004415,9646.759620999546,181.0,4.007117934638775,0.0,5600,6700,7600,8000,8800,9000,9300,9600,9600,9600,9600
GET,2.course_list,140,70,1800.0,2798.4389891214114,31.428571000105876,8301.03209400022,81.46428571428571,4.3827852410111605,2.1913926205055803,2800,4000,5300,6000,7600,7900,8100,8200,8300,8300,8300
GET,3.quiz_list,140,67,2700.0,2839.8329983214358,30.519715000082215,8270.317757999692,530.2,4.3827852410111605,2.097475793912484,2700,3600,5300,5500,6900,7500,8100,8100,8300,8300,8300
GET,4.quiz_info,95,0,2900.0,3540.3758000526364,1344.9502069997834,8043.705383000088,1151.0,2.9740328421147164,0.0,2900,3200,4800,5400,5800,7600,7900,8000,8000,8000,8000
GET,5.quiz_download,140,29,1900.0,1990.1477260713498,29.614688999572536,6813.107690999459,1138.7928571428572,4.3827852410111605,0.9078626570665976,2000,2400,2500,2700,3100,5800,6800,6800,6800,6800,6800
GET,6.quiz_authenticate,140,23,1300.0,1527.3397144856842,37.55518500020116,6968.4223459998975,171.9142857142857,4.3827852410111605,0.720029003880405,1300,1900,2100,2200,2600,3100,5500,5500,7000,7000,7000
POST,7.quiz_submit,95,0,620.0,602.8710030421184,67.42371000018466,2084.168211999895,62.0,2.9740328421147164,0.0,620,930,1100,1100,1200,1300,2000,2100,2100,2100,2100
,Aggregated,878,189,2200.0,2708.023234821162,29.614688999572536,9646.759620999546,464.1628701594533,27.48632458291285,5.916760075365067,2200,2900,4200,5200,6800,7800,8400,9000,9600,9600,9600
