Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,10,0,930.0,950.239393999982,819.6347690000039,1198.382218000006,181.0,0.5873239774858656,0.0,940,960,980,1000,1200,1200,1200,1200,1200,1200,1200
GET,2.course_list,10,0,69,76.33148909981173,62.62595299995155,109.11486699933448,13.0,0.5873239774858656,0.0,70,81,88,89,110,110,110,110,110,110,110
GET,3.quiz_list,10,0,170.0,169.19093789974795,149.66392499991343,190.78865899973607,813.0,0.5873239774858656,0.0,170,170,180,180,190,190,190,190,190,190,190
GET,4.quiz_info,10,0,350.0,417.3083921000398,305.0572980000652,546.4398229996732,1151.0,0.5873239774858656,0.0,450,490,500,530,550,550,550,550,550,550,550
GET,5.quiz_download,10,0,96,104.47567650007841,89.56897700045374,136.29987300009816,1406.0,0.5873239774858656,0.0,100,110,110,120,140,140,140,140,140,140,140
GET,6.quiz_authenticate,10,0,160.0,153.88024129997575,104.83614100030536,202.40565000040078,185.0,0.5873239774858656,0.0,170,170,180,180,200,200,200,200,200,200,200
POST,7.quiz_submit,10,0,98,95.35174349994122,76.77593399967009,115.45123799987778,62.0,0.5873239774858656,0.0,98,99,100,110,120,120,120,120,120,120,120
,Aggregated,70,0,150.0,280.9682677713681,62.62595299995155,1198.382218000006,544.4285714285714,4.11126784240106,0.0,150,180,340,490,920,960,1000,1200,1200,1200,1200
