Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,50,0,1200.0,1192.8721396199762,956.6577260002305,1612.5221310003326,181.0,2.7811325990747124,0.0,1200,1300,1300,1400,1500,1600,1600,1600,1600,1600,1600
GET,2.course_list,50,0,210.0,378.54946200002814,62.49271100023179,991.5074239997921,13.0,2.7811325990747124,0.0,240,450,550,810,950,970,990,990,990,990,990
GET,3.quiz_list,50,0,340.0,518.795747399945,182.550815000468,1232.4197569996613,1051.0,2.7811325990747124,0.0,440,600,700,970,1100,1200,1200,1200,1200,1200,1200
GET,4.quiz_info,50,0,540.0,674.9984837599368,286.17294400009996,1260.1773619999221,1146.0,2.7811325990747124,0.0,570,790,990,1100,1200,1200,1300,1300,1300,1300,1300
GET,5.quiz_download,50,0,210.0,375.7737679200545,69.8259210003016,1059.2690720004612,1396.0,2.7811325990747124,0.0,210,470,570,850,970,1000,1100,1100,1100,1100,1100
GET,6.quiz_authenticate,50,0,210.0,336.75005804003376,89.55013700051495,1070.601887000521,185.0,2.7811325990747124,0.0,210,410,470,510,1000,1100,1100,1100,1100,1100,1100
POST,7.quiz_submit,50,0,100.0,238.14511753995248,69.00556900018273,1032.8239990003567,62.0,2.7811325990747124,0.0,110,140,310,390,920,940,1000,1000,1000,1000,1000
,Aggregated,350,0,410.0,530.8406823257042,62.49271100023179,1612.5221310003326,576.2857142857143,19.467928193522987,0.0,410,630,960,1000,1200,1300,1400,1600,1600,1600,1600
