Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,120,0,5400.0,5226.755371591657,1453.9070669998182,9065.959520999968,181.0,3.571090499127173,0.0,5500,6600,7300,7700,8300,8800,8900,8900,9100,9100,9100
GET,2.course_list,125,27,4600.0,4016.8123681839747,31.7055740001706,8063.093525000113,41.728,3.719885936590805,0.8034953623036138,4600,5300,6000,6400,7300,7800,8000,8000,8100,8100,8100
GET,3.quiz_list,125,32,2800.0,3399.73398782401,26.385248000224237,7820.576865000021,702.16,3.719885936590805,0.9522907997672461,2800,3500,5500,6200,7400,7500,7600,7700,7800,7800,7800
GET,4.quiz_info,107,0,3200.0,3724.374888158879,2538.1936380003935,8099.140016999627,1146.0,3.184222361721729,0.0,3200,3300,3500,4400,6600,6700,6800,6800,8100,8100,8100
GET,5.quiz_download,125,9,2600.0,2325.6497152959887,38.984237000022404,5998.183336000238,1302.832,3.719885936590805,0.26783178743453795,2600,2800,3000,3100,3200,3600,4900,5800,6000,6000,6000
GET,6.quiz_authenticate,125,5,2000.0,1747.931449832009,211.21475600011763,4965.7219840000835,179.92,3.719885936590805,0.1487954374636322,2000,2700,2900,2900,3100,3200,3300,3400,5000,5000,5000
POST,7.quiz_submit,107,0,340.0,651.8383143364226,75.69331900003817,2797.897599999942,62.0,3.184222361721729,0.0,340,580,660,960,2100,2300,2300,2300,2800,2800,2800
,Aggregated,834,73,2800.0,3035.6491575539508,26.385248000224237,9065.959520999968,514.7553956834532,24.819078968933848,2.17241338696903,2800,3200,4300,5300,6600,7500,8100,8600,9100,9100,9100
