Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,75,0,2000.0,2211.718106679995,1136.1224210004366,4330.361153000013,181.0,3.4305325629475094,0.0,2000,2400,2900,3000,3400,3600,3700,4300,4300,4300,4300
GET,2.course_list,75,0,1500.0,1451.2828855067157,76.74711799973011,2967.2420480001165,13.0,3.4305325629475094,0.0,1500,1900,2000,2000,2600,2900,2900,3000,3000,3000,3000
GET,3.quiz_list,75,0,1300.0,1594.6539052000053,754.6130630003063,3134.5760960002735,737.0,3.4305325629475094,0.0,1300,2000,2200,2300,2600,2900,3000,3100,3100,3100,3100
GET,4.quiz_info,75,0,1300.0,1650.7007823333458,905.9723909999775,3274.3462019998333,1151.0,3.4305325629475094,0.0,1300,1900,2100,2300,2700,3200,3200,3300,3300,3300,3300
GET,5.quiz_download,75,0,800.0,1014.0549059200087,61.4650590000565,3033.076768999763,1406.0,3.4305325629475094,0.0,800,990,1100,1100,2500,2700,2700,3000,3000,3000,3000
GET,6.quiz_authenticate,75,0,840.0,717.7333855866772,105.64342899988333,2093.594466000013,185.0,3.4305325629475094,0.0,840,930,1000,1000,1300,1400,1900,2100,2100,2100,2100
POST,7.quiz_submit,75,0,110.0,395.5437995333402,71.66733900021427,1148.402833000091,62.0,3.4305325629475094,0.0,110,640,860,880,990,1000,1000,1100,1100,1100,1100
,Aggregated,525,0,1100.0,1290.8125386800123,61.4650590000565,4330.361153000013,533.5714285714286,24.013727940632567,0.0,1100,1500,1900,2000,2600,2900,3200,3500,4300,4300,4300
