Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,18,0,590.0,569.9029259445119,427.38282899881597,630.9633319979184,181.0,2.030360636126026,0.0,600,600,610,610,620,630,630,630,630,630,630
GET,2.course_list,16,0,40,42.9534687496016,35.37562999918009,63.473629001236986,439.0,1.804765009889801,0.0,40,43,45,45,63,63,63,63,63,63,63
GET,3.quiz_list,14,0,45,57.804793857160675,39.497211000707466,183.86332700174535,119.0,1.5791693836535758,0.0,46,48,50,67,71,180,180,180,180,180,180
GET,4.quiz_info,12,0,110.0,162.46875808368108,102.36497400182998,295.93465300058597,3524.75,1.3535737574173508,0.0,120,190,220,220,280,300,300,300,300,300,300
GET,5.quiz_download,10,0,34,43.41753389999212,28.364133002469316,66.76499800232705,4311.0,1.1279781311811257,0.0,48,49,55,55,67,67,67,67,67,67,67
GET,6.quiz_authenticate,6,0,53,70.59092933316909,34.19306700016023,176.00315399977262,53.0,0.6767868787086754,0.0,53,53,62,62,180,180,180,180,180,180,180
POST,7.quiz_submit,4,0,340.0,329.63082150035916,269.74761599922203,358.02198000237695,63.0,0.45119125247245023,0.0,350,350,360,360,360,360,360,360,360,360,360
,Aggregated,80,0,63,198.50805723749545,28.364133002469316,630.9633319979184,1224.0625,9.023825049449005,0.0,63,180,350,490,600,610,620,630,630,630,630
