Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,1.login,62,0,2500.0,2151.267467741942,421.7203349999181,4472.165082999936,181.0,2.096579244984485,0.0,2600,2900,3100,3200,3500,4000,4200,4500,4500,4500,4500
GET,2.course_list,52,0,2000.0,1659.9871028653824,37.03467599984833,3974.975025000049,433.0,1.758421302245052,0.0,2100,2300,2500,2600,2800,3200,3600,4000,4000,4000,4000
GET,3.quiz_list,42,0,1800.0,1681.8368708333298,31.300254000143468,3915.950371000008,14.0,1.4202633595056189,0.0,1800,2400,2500,2700,3700,3800,3900,3900,3900,3900,3900
GET,4.quiz_info,28,0,4000.0,4172.076288357167,2777.6047510001263,5585.729732000118,3525.1428571428573,0.9468422396704126,0.0,4200,5000,5200,5200,5300,5500,5600,5600,5600,5600,5600
GET,5.quiz_download,23,23,2000.0,1832.4517073478207,533.1101990000207,3911.645713000098,23.0,0.7777632683006961,0.7777632683006961,2000,2400,2600,2600,2800,3000,3900,3900,3900,3900,3900
GET,6.quiz_authenticate,20,0,2100.0,2037.9446974000075,627.5314440001694,3696.464300999878,185.0,0.6763158854788661,0.0,2300,2400,2500,2800,2900,3700,3700,3700,3700,3700,3700
POST,7.quiz_submit,16,0,3300.0,3214.7563336250187,1654.0062210001452,4488.521091999928,62.0,0.5410527083830929,0.0,3400,3600,3800,3800,3900,4500,4500,4500,4500,4500,4500
,Aggregated,243,23,2400.0,2228.372763592598,31.300254000143468,5585.729732000118,568.9341563786008,8.217238008568224,0.7777632683006961,2400,2800,3100,3400,3900,4500,5200,5300,5600,5600,5600
